feat_name,mean
RF_x,5.433017075380353
esr,4.406090284247866
CCP_x,4.365421582410045
L_J_mul,2.2679045266794096
age_onset_x,1.5637588665519424
L_J_cup,1.460890643041555
L_J_PIP4,1.3818122213944917
crp,1.2947510165676228
bi_cluster4_7_8,1.0985215196474378
L_E_PIP4,1.0979707402027372
R_J_cup,0.966493266113752
R_E_radi,0.9317387089760036
R_J_rad,0.9289227891376612
sdai,0.7740849066529817
L_J_rad,0.732087815347465
R_J_mul,0.6285874067353016
R_E_luna,0.446278893542931
duration_x,0.3409685907658063
cdai,0.30388466180969254
R_E_MP,0.30342605702860437
L_E_navi,0.2552400874144446
L_E_radi,0.2426800003343796
L_E_mul,0.17955713544011037
L_rad_x,0.1568399312568624
R_J_4CM,0.12012644687962404
R_E_MCP2,0.10922024948264877
dmards,0.10838823145025409
RFclass3_100_x,0.10519270699604051
CCPorRF_100_x,0.09499302248093747
R_E_ulna,0.07187427557376146
L_J_PIP3,0.07004950042265602
R_E_MCP3,0.06635157047265104
R_J_MCP4,0.06530609670812917
R_J_MCP2,0.06252710706178906
R_E_mc,0.05580877529132774
sum_rad_x,0.05534352654867334
L_E_MCP4,0.04940962811854473
R_E_PIP4,0.03782245255455101
bio,0.03451093528504377
L_E_MCP2,0.017946895257465456
L_E_luna,0.017008721643452608
L_J_PIP2,0.014283040376650302
L_J_MP,0.011173936712705012
R_E_PIP2,0.009245989816981593
L_J_5CM,0.006375635717304329
L_E_MCP3,0.00618018625360629
R_J_PIP2,0.003988168765541455
R_rad_x,-0.0015269684763551505
R_E_MCP4,-0.006517543584597563
bi_cluster1_3,-0.007956138500713162
L_E_MCP5,-0.014537247358485971
R_E_MCP5,-0.018436844065448675
L_J_MCP5,-0.02433514999516907
CCPclass_x,-0.026239222385900228
das28crp,-0.02882661044568805
L_J_MCP3,-0.029073654835065722
L_J_4CM,-0.03432627538644771
L_J_MCP4,-0.03955350341575501
L_J_MCP2,-0.0489226973995878
R_E_mul,-0.052283198805588446
R_J_5CM,-0.058392134358762726
L_E_PIP3,-0.059737857717364264
R_E_PIP5,-0.06085886200791126
steroid,-0.06202712728767944
L_E_IP,-0.06289105930816366
L_E_PIP2,-0.06813668660803972
R_J_PIP4,-0.06854286129968809
R_J_MCP5,-0.07777847422704372
mtx,-0.07856786977979872
R_E_navi,-0.08368476835730379
L_J_PIP5,-0.08386867161837398
CCPorRF_x,-0.08522103501562882
gender_x,-0.09397684051755689
R_E_IP,-0.11413423577803532
L_J_3CM,-0.12694103858774047
R_J_MCP3,-0.1286576931226461
RFclass_x,-0.13158597443810827
das28,-0.14302525137880578
L_E_MP,-0.14615365500957658
L_E_mc,-0.15296410396635157
R_J_3CM,-0.15520102055011206
L_E_PIP5,-0.16864750230335995
R_J_PIP5,-0.1825632628200836
R_E_PIP3,-0.21203168974191716
R_J_PIP3,-0.2178023935969151
L_E_ulna,-0.27853850063182006
R_J_MP,-0.3421972787249551
